근무 지역,학력,기업 규모,회사명,공고 제목,접수 마감일,담당업무,근무 일시,채용인원,공고 사이트 주소,회사 홈페이지,회사 주소,대표자명,설립일(연차),사원 수,매출액,업종,사업 내용
서울 구로구,초대졸 이상,중소기업,예인시스템,2024년 정규 C# 응용 프로그램 개발자 신입&경력 모집,2024.03.15(토),C#응용 프로그램 개발자,주 5일,1명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47375385&view_type=search,http://www.yeinsys.co.kr/,서울 구로구 디지털로32길 30,김원진,1998년 12월 23일(27년차),16명,53억,상품 종합 도매업,국내 및 해외 자동화 시스템 구축
서울 금초구,초대졸 이상,중소기업,위트코시스템즈,물류(WMS)/스마트팩토리(MES) 솔루션 개발연구원 채용 (C#),2024.01.31(수),스마트팩토리(MES) 솔루션 개발연구원,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47291439&view_type=list,http://www.witco.co.kr/,서울 금천구 두산로 70,허준영,2020년 04월 01일(5년차),17명,14억,응용 소프트웨어 개발 및 공급업,"Control & Information System, e-Business Provider"
경기도 수원,학력 무관,중소기업,유디엠텍,C# 개발자 신입/경력 채용,2024.01.21(일),자체개발한 솔루션 유지보수 업무수행(오류수정/기능추가/테스트 등의 업무를 수행)최근 성장하는 자동차 및 이차전지 업종을 대상으로 업무를 수행. ,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47029008&view_type=list,www.udmteck.com,경기 수원시 영통구 창룡대로256번길 91,왕지남,2007년 05월 28일(18년차),42명,54억,응용 소프트웨어 개발 및 공급업,"소프트웨어 개발, 공급(AI기반 기계어 처리 플랫폼)"
경기도 성남,초대졸 이상,중소기업,이디코어,인공지능 솔루션 및 MES 시스템 개발 엔지니어 모집 (C#/Java),채용 시 마감,C# 및 Java 소프트웨어 개발,주 5일,6명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47047278&view_type=list,http://edcore.co.kr,경기 평택시 정암로 42,한대수,2016년 07월 15일(9년차),30명,미공개,응용 소프트웨어 개발 및 공급업,"소프트웨어 개발, 자문, 공급, 운영, 컴퓨터 제조업, 무역업(산업용) 등"
경기도 성남,학력 무관,중소기업,이루온,프로그램개발(신입/경력) 모집,2024.01.28(일),유무선 통신 프로그램 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43442725?rPageCode=SL&logpath=21,https://www.eluon.com/,경기 성남시 분당구 삼평동 670번지,이승구,1998년 04월 23일(27년차),154명,270억,모바일·APP,"이동통신 솔루션(핵심망, 부가망)"
서울 서초구,학력 무관,중소기업,이스트게임즈,게임서버,상시 채용,게임 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=40607124&view_type=list,https://www.estgames.co.kr/,서울 서초구 반포대로 3,이형백,2011년 06월 28일(14년차),125명,120억,유선 온라인 게임 소프트웨어 개발 및 공급업,모두에게 즐거움과 희열을 선사하는 '재미있는 게임'을 제작
경기도 화성,초대졸 이상,코스닥 상장 기업,이엘피,연구소 비전 검사 장비 SW 개발자 신입 모집,2024.02.23(금),비전검사장비S/W개발|S/W setup 및 유지보수,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47226286&view_type=list,www.elp.co.kr,경기 화성시 삼성1로2길 29,이재혁,1999년 10월 16일(26년차),126명,미공개,"전자기 측정, 시험 및 분석기구 제조업","평판디스플레이(OLED/LCD)검사장비, 첨단계측장비 제조, 무역"
서울 서초구,초대졸 이상,중소기업,인텔리빅스,AI연구소 영상보안 응용SW개발 인력모집,2024.01.19(금),영상보안 SW개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47013180&view_type=list,https://www.intellivix.ai,서울 서초구 효령로34길 4,장정훈/최은수,2000년 06월 13일(25년차),95명,126억,응용 소프트웨어 개발 및 공급업,"안전과 관련된 다양한 안전사고 예방 솔루션을 비롯해 매장 고객 분석, 보이스피싱 예방 솔루션을 제공하는 지능형 영상분석 AI 선도기업입니다."
서울 영등포구,대졸 이상,중소기업,젬백스링크,해외패션사업부 및 IT사업부 각 담당자 채용,2024.01.31(수),이동통신사 메시징 솔루션 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47288127&view_type=list,https://www.gemvaxlink.com/,서울 영등포구 영등포로 272,김상재/황정일,2000년 04월 06일(25년차),102명,948억,기타 의복 소매업,패션과 IT 서비스의 성장을 통한 혁신을 주도하는 기업
서울 강남구,초대졸 이상,중소기업,젬텍㈜,Linux 기반 C/C++ 개발 및 운영자 모집,2024.02.12(화),LINUX 기반 C/C++ 데몬 프로그램 및 TCP/IP 네트웍 프로그램 개발/운영,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47179246&view_type=list,https://gemtek.co.kr/,서울 강남구 테헤란로 322 ,이원필,2015년 11월 06일(10년차),15명,"2,287억",응용 소프트웨어 개발 및 공급업,"자체 개발 솔루션을 이용한 편리한 웹 메시징 서비스 및 DB Agent를 이용한 대용량 메시징 서비스, 관리자 통계 프로그램 등을 제공"
서울 서초구,대졸 이상,중소기업,지놈인사이트테크놀로지,[유망 스타트업] AI팀: Backend Engineer(전문연구요원 가능),상시 채용,AI/ML 기반의 프론트엔드 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=46776744&view_type=list,https://genomeinsight.net/,대전 유성구 문지로 193,이정석/주영석,2020년 01월 09일(5년차),67명,23억,데이터베이스 및 온라인정보 제공업,AI bioinformatics 기술로 whole-genome 데이터에 환자 데이터를 접목하여 빠르고 정확한 진단 분석 솔루션을 제공
경기도 안양,학력 무관,벤처기업,지디텍,머신비전 검사장비 개발자 모집(제어시스템/광학검토 및 응용/C++ 및 MFC S/W 개발자/기구설계),2024.01.31(수),비전검사장비 제어/검사 S/W개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43702665?rPageCode=SL&logpath=21,https://jeih.co.jp/,경기 안양시 동안구 학의로 268,김민수,2015년 07월 14일(10년차),50명,100억 ,반도체·디스플레이·광학,반도체 검사장비 제조업
서울 강남구,초대졸 이상,중소기업,지피앤피,[㈜지피앤피] 분야별 IT 각팀 채용공고,2024.01.29(월),의료기관 내 자사제품(의료용 소프트웨어)시스템 구축 및 유지보수/제품 문의 응대/원격지원/장애처리/일반 전산/IT 기술 지원,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43777383?rPageCode=SL&logpath=21,http://www.gpnp.co.kr,서울 강남구 삼성로 706,이양규,2000년 01월 06일(25년차),32명,149억,의료기기 도매업,"의료기기, 전자, 컴퓨터, 주변기기 도소매 등"
