근무 지역,학력,기업 규모,회사명,공고 제목,접수 마감일,담당업무,근무 일시,채용인원,공고 사이트 주소,회사 홈페이지,회사 주소,대표자명,설립일(연차),사원 수,매출액,업종,사업 내용
경기도 안양,학력 무관,중소기업,나이콤,S/W 개발자(.NET/C/C#/C++/Java) 인재모집,2024.01.26(금),도서관 솔루션 개발/신제품 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43728623?rPageCode=SL&logpath=21,http://www.enicom.co.kr/,경기 안양시 동안구 시민대로109번길 11,김대영,2001년 08월 21일(24년차),86명,160억,컴퓨터·하드웨어·장비,도서관리시스템 개발 / 제조/ 판매
경기도 안양,학력 무관,중소기업,네오셈,HW/SW 개발 경력직 채용,2024.01.26(금),S/W 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43593043?rPageCode=SL&logpath=21,http://www.huvio.co.kr/,경기 안양시 동안구 관양동 시민대로 327번길 12-26,염동현,2002년 04월 04일(23년차),114명,731억,그 외 기타 특수목적용 기계 제조업,특수목적용 기계 제조
서울 금천구,학력 무관,중소기업,넷맨,연구소 신입/경력 상시 채용,상시 채용,응용프로그램 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43723773?rPageCode=SL&logpath=21,http://www.netman.co.kr/,서울 금천구 가산디지털1로 168,서승호,2001년 09월 01일(24년차),29명,미공개,정보보안,"네트워크 관리시스템 소프트웨어 개발 (NAC, IPAM)"
서울 성동구,학력 무관,중소기업,노르마,암호모듈 개발자(신입 및 경력자),상시 채용,암호모듈 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=46190629&view_type=list,https://norma.co.kr/,서울 성동구 아차산로15길 52,주영철,2011년 10월 10일(14년차),54명,68억,응용 소프트웨어 개발 및 공급업,양자 컴퓨팅 환경에서도 안전한 ‘양자내성암호(PQC)’를 적용한 IoT 보안 솔루션과 서비스
서울 서초구,대졸 이상,코스닥 상장 기업,누리플렉스,2024년 누리플렉스 Application 개발자/신규사업 기획자 채용,2024.02.05(월),AMI 애플리케이션 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47333119&view_type=list,http://www.nuriflex.co.kr/,서울 서초구 사평대로 16,김영덕,1994년 04월 18일(31년차),86명,"1,247억",시스템 소프트웨어 개발 및 공급업,"유틸리티, 제조, 에너지, 공공 분야에 적합한 최적의 IoT 솔루션 공급"
서울 영등포구,초대졸 이상,중소기업,뉴젠솔루션,윈도우/웹 응용프로그램 개발 및 유지보수 - 신입/경력,2024.02.09(토),기업 운영 관리 솔루션/서비스 개발,주 5일,3명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47149602&view_type=list,https://newzensolution.co.kr/,서울 영등포구 경인로 775,장선수,2010년 11월 29일(15년차),75명,116억,응용 소프트웨어 개발 및 공급업,경영정보화 솔루션 개발 및 구축 전문
서울 송파구,초대졸 이상,중소기업,드림디엔에스,S/W개발 경력자 채용,2024.01.31(수),보안 S/W 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47231575&view_type=list,https://www.dreamdns.co.kr/,서울 송파구 송파대로 111,박기준,2019년 01월 03일(6년차),32명,50억,주변기기 제조업,보안 솔루션 보안 시스템 보안 전산장비 개발
서울 성동구,대졸 이상,코스닥 상장 기업,드림시큐리티,보안기술 연구소 암호기술연구 개발자(C/C++) 채용,2024.01.20(토),암호기술연구 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47218654&view_type=list,https://www.dreamsecurity.com/,서울 성동구 아차산로 126,범진규/문진일,2014년 06월 25일(11년차),220명,302억,시스템 소프트웨어 개발 및 공급업,PKI기반의 보안 · 인증솔루션 및 서비스를 제공하는 IT 인증보안 전문기업
서울 강서구,대졸 이상,중소기업,디에이치로지스틱스,진짜 개발을 배우자 [디에이치로지스틱스] 개발자 모집,2024.02.08(목),자사 솔루션 기반 서비스 개발 및 운영,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47331577&view_type=list,https://www.dhlogistics.co.kr/,서울 강서구 마곡중앙로 171,원동희,2014년 09월 04일(11년차),24명,26억,시스템 소프트웨어 개발 및 공급업,유통 및 물류 업무에 맞는 최고의 플랫폼 서비스를 제공
서울 마포구,학력 무관,중소기업,디지털존,디지털존 전자증명1팀 CS프로그램 개발자 채용,채용 시 마감,CS 프로그램 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47358066&view_type=list,http://www.digitalzone.co.kr/,서울 마포구 월드컵북로 396,전정우,1999년 02월 11일(26년차),66명,118억,전자부품 제조업,"대학/병원/공공기관 증명발급 시스템 구축 및 운영, 블록체인/클라우드/인공지능 등 ICT 사업"
경기도 군포,초대졸 이상,중소기업,라온시스템즈,SW 개발자 채용 [C# / .NET / WPF / C++ / MFC],2024.02.20(화),WPF(C#/NET)/MFC(C++)를 통한 UI/UX개발 및 시스템 구축/Oracle/MS.Sql등의 DB 활용SW 유지보수,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47231931&view_type=list,www.laonsys.co.kr,경기 군포시 고산로 148번길 17,김태호,2012년 01월 02일(13년차),30명,미공개,기타 무선 통신장비 제조업,"전자통신제품, 유무선통신장치 제조/정보통신공사/ 시스템통합 등"
서울 강서구,학력 무관,중소기업,로이드테크,Oracle H/W|Appliance 기술지원 필드엔지니어 신입채용,2024.03.10(일),Oracle H/W|Appliance 기술지원 필드엔지니어,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47345380&view_type=search,http://www.loittech.co.kr/,서울 강서구 공항대로 186,김대석,2017년 09월 15일(8년차),42명,미공개,컴퓨터시스템 통합 자문 및 구축 서비스업,오라클 스토리지 어플라이언스 제품 기술지원
서울 서초구,대졸 이상,스타트업,모빌테크,[모빌테크] Sensor Fusion Engineer 모집 (신입/경력),채용 시 마감,센서의 데이터 프로세싱과 맵핑 소프트웨어 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47374592&view_type=list,https://www.mobiltech.io/,서울 서초구 마방로 28,김재승,2017년 04월 10일(8년차),108명,64억,전기ㆍ전자공학 연구개발업,"3D 공간 스캐너를 개발하여 스마트시티를 위한 3차원 공간정보, 하드웨어,소프트웨어 솔루션을 공급"
서울 서대문구,초대졸 이상,중소기업,미네르바소프트,C++/MFC 인재 채용,2024.02.08(목),이미지 처리 어플리케이션 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47338087&view_type=list,http://www.minervasoft.co.kr/,서울 강남구 삼성로100길 24,김정숙,2005년 10월 12일(20년차),29명,68억,응용 소프트웨어 개발 및 공급업,"영상문자인식솔루션(OCR), 이미지보안솔루션을 금융기업(은행,보험,카드,증권,캐피탈)을 주 고객으로 공급"
서울 강서구,학력 무관,중소기업,미디어젠,2024 백엔드/AI응용개발자 신입/경력(정규직)채용,2024.02.14(수),백엔드/AI응용개발자,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47370477&view_type=list,http://www.mediazen.co.kr/,경기 성남시 분당구 성남대로331번길 8,고훈,2000년 06월 20일(25년차),196명,173억,응용 소프트웨어 개발 및 공급업,음성인식 솔루션 전문
경기도 용인,초대졸 이상,중소기업,미래로시스템,C# / Python / JAVA 소프트웨어 개발자 채용,상시 채용,NET Front.end(Client)/Back.end(Server or Service)응용 프로그램 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47293553&view_type=list,www.mirero.co.kr,경기 용인시 기흥구 흥덕중앙로 120,두영수,1994년 01월 22일(31년차),139명,319억,응용 소프트웨어 개발 및 공급업,"영상소프트웨어(영상분석,image전송시스템)개발 등"
서울 금천구,학력 무관,중소기업,바이탈컴,IT개발/데이터 정규직 채용,2024.02.17(일),닷넷(.NET)기반 어플리케이션 개발 및 프로젝트,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47204899&view_type=search,http://vitalcom.kr/,경북 경산시 경안로65길,박순옥,2019년 12월 24일(6년차),41명,51억,"컴퓨터 및 주변장치, 소프트웨어 도매업",공공 · 교육 분야의 대용량 데이터베이스 구축 경험 및 인공지능 기술을 기반으로 클라우드 환경에서 인공지능을 활용하여 다양한 분야를 위한 플랫폼 서비스를 지원
경기도 광주,초대졸 이상,중소기업,보우시스템,자동화 사업부 신입/경력 채용,2024.02.26(월),C#/MS_SQL/프로그램 개발 및 수정(C#),주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47254052&view_type=list,http://www.bowoosystem.com/,경기 광주시 초월읍 산수로622번길 18-11,박형택,1991년 09월 09일(34년차),83명,미공개,기타제조업,물류 자동화 시스템인 컨베이어 자동분류기 제작 등
경기도 군포,대졸 이상,중소기업,브이씨텍,2024년 브이씨텍 부문별 신입/경력 채용,2024.01.21(일),철도신호시스템 S/W 설계 및 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47305826&view_type=list,http://www.vctech.co.kr/,경기 군포시 당정동 246-2,이인석,2002년 07월 30일(23년차),98명,미공개,배전반 및 전기 자동제어반 제조업,전기전자제어장치 제조/부동산 임대/연구개발용역
서울 강서구,학력 무관,중소기업,비원시스템,ERP/RFID 솔루션 개발자(C#/asp/java/oracle) 모집,2024.02.16(금),ERP/RFID 솔류션 개발자,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47196707&view_type=list,https://b1sys.co.kr/,서울 강서구 공항대로46길 13-20,정훈락,2010년 09월 13일(15년차),17명,"1,740억","컴퓨터 및 주변장치, 소프트웨어 도매업",보안/RFID 솔루션 및 미래교육 통합 서비스 제공
서울 금초구,학력 무관,중소기업,비전인,C/C++/WPF 전문개발자 모집,상시 채용,c/c++/WPF 전문개발자 ,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47028767&view_type=list,https://www.vision-in.co.kr/,서울 금천구 디지털로 121,김학일,2014년 08월 14일(11년차),263명,19억,응용 소프트웨어 개발 및 공급업,"컴퓨터비전, 병렬 영상처리, 머신러닝, 임베디드 시스템 기술들을 바탕으로, 지능형 영상감시, 머신비전, 바이오인식, 스마트 자동차 분야의 핵심기술 국산화"
서울 서초구,대졸 이상,코스닥 상장 기업,빅텍,2024년 각 부문별 신입(경력)사원 모집,2024.01.23(화),소프트웨어 설계,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47375896&view_type=list,https://www.victek.co.kr/,경기 이천시 마장면 덕이로 180 31,임만규,1996년 01월 09일(29년차),185명,743억,기타 전기 변환장치 제조업,"Electronic Warfare System, Power Supply, Signal Processing & Control 분야의 전문 기업"
서울 영등포구,대졸,중소기업,선재소프트,DBMS 솔루션 개발/지원(Linux/C언어),2024.02.10(토),DBMS 솔루션 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47350153&view_type=list,http://www.sunjesoft.com/,서울 영등포구 당산로 171,김기완,2010년 01월 07일(15년차),31명,24억,응용 소프트웨어 개발 및 공급업,국내 IT 환경과 In-Memory DBMS 산업과 기술에 대한 깊이 있는 이해를 바탕으로 고객의 니즈에 부합하는 In-Memory 제품 개발
서울 금천구,학력 무관,중소기업,세피스,MES/POP 개발 (C#/.NET) 신입|경력사원 채용,상시 채용,MES/POP 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47179746&view_type=list,https://www.seffice.com/,서울 금천구 가산디지털2로 108,나한주,2003년 05월 01일(22년차),40명,13억,응용 소프트웨어 개발 및 공급업,"공공, 금융, 경제, 유통, 물류 등의 분야를 대상으로 고객이 필요로 하는 정보시스템을 컨설팅, 계획,설계, 개발,구축 및 관리와 유지보수까지의 고객의 환경에 가장 적합한 맞춤형 통합 시스템 제공"
서울 성동구,초대졸 이상,중소기업,소닉스,기업부설연구소(신입)/C/C++/C# 정규직채용,2024.01.28(일),PC제어 프로그램 개발,주 5일,4명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47075622&view_type=list,http://www.shonics.com/,충남 천안시 서북구 성환읍 가동길 26-22,손영곤,1996년 03월 21일(29년차),43명,72억,"전자기 측정, 시험 및 분석기구 제조업","TV,Monitor 및 모바일기기의 조립 및 검사 공정의 최첨단 자동화 시스템을 제작"
인천 연수구,학력 무관,중소기업,쇼엠,(인천 송도 근무) 파이썬 개발자 신입 사원 채용,2024.01.19(금),파이썬 프로그래밍/회사 내 파이썬 스크립트 제작/수정/유지보수 등 리눅스 서버 관리,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47305918&view_type=list,showm.kr/,인천 연수구 갯벌로 12,박무진,2016년 05월 09일(9년차),135명,120억원,광고 대행업,"다양한 광고 기법 (바이럴 광고 ,검색광고,소셜 광고, 모바일 광고 등)을 이용하며, 디자인, 사이트 구축, 파트너사 관리 및 응대,온라인 광고에 필요한 모든 서비스를 제공하는 종합 온라인 광고 대행사"
서울 금천구,학력 무관,중소기업,스마일스퀘어,이미지 분석 S/W 개발자 채용,상시 채용,골프 시뮬레이터 이미지 분석 및 센서 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47150952&view_type=search,http://smilesquare.co.kr/,서울 금천구 가산디지털2로 11,김인수,2017년 11월 24일(8년차),18명,11억,기타 오락용품 제조업,ICT(Information and Communications Technologies) 융복합 스포츠&문화 콘텐츠 기업
경기도 전지역,학력 무관,중소기업,스마트비전,고속도로 및 국도 교통 시스템/교통정보/전산장비 유지관리 신입|경력 채용,2024.01.26(금),ITS(지능형 교통 시스템 유지관리),주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43766739?rPageCode=SL&logpath=21,http://www.sv2003.com,경기 하남시 덕풍동 762,김동철,2003년 02월 10일(22년차),260명,170억,"네트워크,통신서비스",고속도로 ITS 및 정보통신시설 유지관리 업무
경기도 부천,초대졸 이상,중소기업,시모스미디어텍,IoT 임베디드 소프트웨어 엔지니어 모십니다,2024.03.11(월),임베디드 리눅스 응용 프로그래머,주 5일,1명,https://www.jobkorea.co.kr/Recruit/GI_Read/43755739?rPageCode=SL&logpath=21,http://www.cmosmedia.com/,경기 부천시 석천로 397,이요섭,2004년 08월 01일(21년차),10명,50억,전기·전자·제어,Android Smart TV Box/Smart Glasses 개발 영상처리 솔루션
경기도 화성,대졸 이상,중소기업,시스윈로보틱스,2024년 각 부문별 신입/경력 채용 [개발/영업/설치 및 유지보수],2024.01.24(수),반도체/디스플레이 설비PC기반 S/W개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43790999?rPageCode=SL&logpath=21,http://www.syswin.co.kr/html/,경기 화성시 동탄기흥로 64-4,유완옥,2004년 10월 21일(21년차),55명,126억,컴퓨터·하드웨어·장비,"자율주행AMR, 반도체 설비, 설비자동화시스템, 원격제어시스템,Vision System"
서울 강서구,학력 무관,중소기업,썬더소프트코리아,2024 썬더소프트코리아 SW인재(경력/신입),2024.01.21(월),Automotive BSP 개발 및 지원 C/C++,주 5일,1명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47187772&view_type=search,https://www.thundersoft.com/,경기 성남시 분당구 대왕판교로 670,박종오,2016년 08월 31일(9년차),217명,177억,응용 소프트웨어 개발 및 공급업,글로벌 OS SW개발 전문기업
경기도 전지역,초대졸 이상,중소기업,씨에스에너텍,씨에스에너텍 연구소 신입 및 경력 정규직 채용,2024.02.02(금),배터리 매니지먼트 시스템(BMS) 펌웨어 개발 (C/C++)/BMS 유지보수용 윈도우 프로그램 개발(C#),주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43687424?rPageCode=SL&logpath=21,http://www.csenertech.com,경기 오산시 황새로 117,이홍배,2013년 09월 03일(12년차),44명,170억,유선 통신장비 제조업,"전기제품, 통신장비,특장차,소프트웨어개발 등"
서울 구로구,초대졸 이상,중소기업,씨엘아이텍,개발자 모집(언어 1가지 이상 능숙/C++/C#우대),2024.02.09(토),자동창고 운영/제어 프로그램 개발자,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47152108&view_type=search,http://www.clitec.co.kr/,서울 구로구 경인로53길 90,조창래,2005년 05월 19일(20년차),6명,12억,컴퓨터시스템 통합 자문 및 구축 서비스업,공장자동화 소프트웨어 개발
